Person,Establishment,longitude,latitude
Lauren,Ray_s Boathouse,47.673643,-122.407482
Nate,List,47.613507,-122.345995
Hannah,Rachel_s Gingerbeer,47.615533,-122.316887
Kelly,Canterbury Ale houseÿ,47.624405,-122.312314
Edmund,Bing_s,47.635964,-122.27825
Adam,Bottlehouse,47.613631,-122.288996
Brittany,Bar Cotto,47.614906,-122.312306
Sam,95 Slide,47.614286,-122.321839
Higinio,Owl N' Thistle,47.603326,-122.335117
John,Storyville,47.610223,-122.337341
Josh,The Saint,47.617558,-122.326358
Megan,Mezcaleria Oaxaca,47.616789,-122.320051
Caroline,Grim's,47.614648,-122.317453
Paige,Red Star,47.651541,-122.351310
Delcie,Japonessa,47.608211,-122.339008
Seth,Lost Lake,47.614428,-122.319246
Nate,Linda's,47.615441,-122.322130
Edmund,Ivar's,47.623999,-122.337302
Higinio,Casco Antiguo,47.601347,-122.333241
John,Skillet,47.613088,-122.313937
